"";"Basal_squamous";"Basal_squamous";"Luminal";"Luminal";"Luminal_infiltrated";"Luminal_infiltrated";"Luminal_papillary";"Luminal_papillary";"Neuronal";"Neuronal"
"ARNT";0,0524605348678175;0,37474205747046;0,031503369688604;0,802414742741863;-0,120160037163965;0,132619151757754;0,0555400958825611;0,352581584395892;-0,207407168630191;0,174441110782341
"ARNTL";-0,838241118232418;7,82272116187575e-21;0,736774885042459;4,35894301724513e-06;-0,0469830278981584;0,771907276390921;0,555245326125134;2,73550019958949e-09;-0,0947698740052623;0,759192526057069
"ASCL2";0,779292005414272;1,11198314176007e-05;-0,428575685459372;0,209482972320202;0,292215699243148;0,277817635373245;-0,754466688928264;2,28965556794721e-05;-0,131885358009489;0,820141781962292
"ATF1";-0,275651823871755;5,11136545246636e-08;0,0999395571184483;0,320806550065547;0,0280113691808932;0,747976323927786;0,207807077165311;5,68348099790569e-05;0,00974959803691;0,957699795887707
"ATF3";-0,112056658252865;0,575461304898822;0,30696274901281;0,400141256620616;-0,70157605417277;0,0044841309774907;0,343738209231882;0,0716043064244552;0,554126029864232;0,28662717508546
"ATF4";0,0606182457157782;0,310407217731311;-0,221556860826066;0,0278363538914865;-0,0535734065448903;0,556203805535642;0,101792625514614;0,0809486459737141;-0,146419994952243;0,367828208118622
"ATM";0,0946322799695309;0,209538626321062;-0,0212192953986303;0,89415955389697;-0,248005687632261;0,0104173527556805;0,0810664465599356;0,291726101734416;0,012621881912235;0,959671663261324
"RERE";0,891560993592295;6,05053165600349e-47;-0,319806538327164;0,0120434193716347;-0,221534459719624;0,0243572689246465;-0,516058938321782;4,36602434145812e-14;-0,389722031874724;0,0381548455790144
"ATRX";0,190405217026152;0,00192110150256193;0,108605844187341;0,363754099673965;0,0208681334285057;0,843425101460438;-0,244492104580647;5,98554557384015e-05;-0,028741180987403;0,884545445725157
"BACH1";-0,625036058391293;1,54042890093979e-15;0,287444150784125;0,0545755499448731;-0,199795299007393;0,0871798236164367;0,528380683207402;3,3582569976394e-11;0,510965365008545;0,0165504331379755
"BARD1";-0,449869248514124;0,00508847114189476;0,441888288201556;0,139371502540665;0,0471822196437222;0,86807533805411;0,22225764575863;0,186438631882318;-0,0178351192365653;0,972453928087333
"BCL3";-0,521805266522463;2,14427978255734e-07;0,207220154024839;0,297774984657397;-0,150884312442429;0,335854275888323;0,326590888653522;0,00166108142135856;1,03968202432731;4,13670188636529e-05
"BCL6";0,543967075073027;1,50447088598439e-09;-0,149273523698939;0,421123344780235;-0,268381322934754;0,0367552203008728;-0,478662660680159;1,45944253958274e-07;0,975421669730098;1,92977035287761e-05
"PRDM1";-1,21570402687483;2,72888324248113e-22;0,409886328894697;0,0990814767135988;-0,390705552284013;0,03644004180721;1,22519627581134;1,23708246666051e-22;0,316242758119319;0,425200533044622
"POLR3D";-0,29196436626532;1,42912344230985e-06;0,0749407244810456;0,55134007415118;0,0406008159038116;0,687714501885797;0,316485112538352;1,65485341737805e-07;-0,457796948793435;0,00337514014183859
"FOXL2";-0,923935177836881;0,000607491891116753;-0,371300873160906;0,495989321803641;1,01149083022847;0,00522710503687161;0,603798833696265;0,0294203891971176;-1,09759043025119;0,133199546389387
"BRCA1";-0,360408911792234;4,00884291258596e-05;0,126121188031348;0,483502344010337;0,399930924742437;0,000565759116202578;0,112752961402506;0,230293580896812;-0,427190655857535;0,0687728220840982
"BRCA2";-0,244068795371576;0,0610004588007591;-0,342843136001089;0,149327785325522;0,246225108486374;0,181599724941403;0,268845351470938;0,0394556067604542;-0,226111239843772;0,556699936948729
"ZFP36L1";-0,281592883832122;0,00122274528543846;0,486224159037969;0,00127739244362052;-0,406367942202666;0,000330449037230985;0,255183735781833;0,00380189158331286;0,438882938437747;0,0549319318554175
"ZFP36L2";0,0787396227671131;0,37915248078283;-0,0735743803331079;0,678754451420399;-0,408426334038388;0,000174627641547296;-0,0229590485270812;0,814644548996355;1,3163932663565;3,57982490335973e-11
