"TCGA-4Z-AA7R-01";"TCGA-BL-A3JM-01";"TCGA-BT-A0S7-01";"TCGA-BT-A2LA-01";"TCGA-C4-A0EZ-01";"TCGA-DK-AA6W-01";"TCGA-FJ-A871-01";"TCGA-G2-A2EL-01";"TCGA-GD-A3OS-01";"TCGA-GV-A3JZ-01";"TCGA-K4-A3WV-01";"TCGA-XF-A9ST-01";"TCGA-XF-A9T2-01";"TCGA-XF-AAMG-01";"TCGA-XF-AAMH-01";"TCGA-XF-AAN7-01";"TCGA-YC-A9TC-01";"TCGA-ZF-AA4R-01"
"EOMES";0;0;0;0;0.0650938492688949;0.0461230495376722;0;0.173056511649894;0.197443138181358;0.052814828034267;0;0;0;0;0;0;0.00602727245881053;0
"CREB5";0;0;0;0.068339452854629;0;0;0.0359949206704759;0;0;0;0.0614659609469196;0;0;0.0621726500830194;0;0;0;0.239810884438835
"ZNF397";0;0;0.0172069218433863;0.00840630540300754;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HCLS1";0.0231170236095021;0.00624008167704393;0.0214509909844587;0;0;0.0202461306174084;0;0;0;0.00179686787600177;0;0.00867219740936944;0;0;0;0;0.0127642446100008;0
"PDLIM4";0;0;0;0.0368443512459682;0.0212391914588485;0;0;0.32715723532634;0;0;0;0;0;0;0;0;0;0
"TSHZ3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TRPS1";0;0.0357249911279816;0.0326180052330892;0;0.0493365029281302;0.0132007719871321;0;0;0;0.0260245430922608;0.414530642837202;0;0;0;0.0637047051038932;0;0;0
"GTF3C4";0;0;0;0.0631990091344024;0;0;0;0;0;0;0.0839985350095753;0;0;0;0;0;0;0.0359865058907328
"GTF2H3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"GTF2I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0580138281266985
"VHL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"NCOR1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00700019722211914
"EYA3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0200486208524657;0;0
"ATF7IP";0;0;0;0;0;0;0;0;0;0;0;0.022911153296944;0;0;0;0;0;0
"TAF1L";0;0;0;0.000142530036073013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BDP1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ATF2";0;0;0;0;0;0;0;0;0.0479002398691058;0;0;0;0;0.07165099812313;0;0;0;0
"ZBTB39";0;0.00451610864770178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0217292306575481
"ZNF551";0;0;0;0.0330884953151561;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AFF4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0260617786843517;0;0
"SHPRH";0;0;0;0;0;0;0;0;0.0800632479547458;0;0;0;0;0;0;0;0;0
"NCOA2";0;0;0;0;0;0;0;0;0.0468557360102552;0;0;0;0;0;0;0;0;0
"ZNF623";0;0;0;0.0180303401026359;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EPC1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0233283283623598;0;0
"CLOCK";0;0;0;0;0;0;0;0;0.300139060588643;0;0;0;0;0;0;0.222098132201692;0;0.122893296644414
"ADNP";0;0;0;0;0;0;0;0;0;0;0.00121957703665264;0;0;0;0;0;0;0.173749855353747
"ZNF430";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"REL";0;0;0;0;0;0;0;0.00165036402903939;0;0;0;0;0;0;0;0;0;0
"EP300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ZNF81";0;0;0;0;0;0;0;0;0;0;0;0;0.00333473842352653;0;0;0.0455340323026292;0;0
"ARID1A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"REST";0.00400097220500427;0;0;0;0;0;0;0;0;0;0;0;0;0.0614132131576357;0;0;0;0
"ZNF641";0;0;0;0;0;0;0;0;0;0;0;0;0;0.0329975542250273;0;0;0;0
"GTF2A1";0.02740961368512;0;0;0;0;0;0;0;0;0.164807392919981;0;0.616125815209852;0.0321899310291492;0.130757445688444;0;0;0;0
"ETV3";0;0;0;0;0;0;0;0;0.0745653242540085;0;0;0;0;0;0;0;0;0
"APC";0;0;0;0;0;0;0;0;0.0888346877478807;0;0;0;0;0.0269039800447994;0;0.0664731290284657;0;0
"ASH1L";0.0552580663459006;0;0;0.0484548966516326;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MYOCD";0.02002461302674;0.0253744049273234;0;0;0.00549766205827948;0;0.0565480107859333;0;0;0;0;0.0244040798139848;0;0.011069633859098;0.0320404842197326;0.0224668003499444;0;0.0385481440440841
"ZNF225";0.00356702784286075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MKL2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PCBD1";0;0.0771320358258454;0;0;0;0.00174449618087403;0;0;0;0;0;0;0.0561829048756832;0;0.0180933830082593;0;0;0
"TBX3";0;0;0;0;0;0;0;0.601501245467969;0;0;0.45516869489296;0;0.119412836663555;0;0.124606976053334;0;0.0633175361296522;0.0739340172269321
"TOB1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00510509740247366
"BTG2";0;0.172760629546349;0.0948365118600181;0;0.0990168434186027;0.0144320974193052;0;0;0;0;0;0;0.0026821902545068;0;0;0.00341444029368788;0;0
"SOX17";0;0.000813358555848748;0;0;0;0;0.106891942979609;0;0;0;0;0;0;0;0.040775333054005;0;0.034800246742243;0.032167863942062
"BCL6B";0.0206200298825376;0;0;0;0.0136055613370123;0.0534271846040057;0;0;0.0886327519292804;0.025786626287303;0;0.0820666734673743;0;0;0;0;0;0
"MEF2C";0.182250208407981;0;0.0968958428947119;0;0.0404718158600393;0.076694361997592;0;0.129488744411547;0;0.0700041095449598;0;0;0;0;0.132545130065107;0;0;0
"TEAD4";0;0.0940025364827173;0.227679317436861;0.0297806885086432;0;0.152622919224695;0;0.233047109631646;0;0;0.349780518630696;0.596728131446778;0.073185845517808;0;0.0976661320112338;0.762308962178167;0.113416311614404;0.16895315345008
"HMGA2";0;0.158377017377637;0.0980141153366745;0;0;0;0;0;0.0430248566656008;0.0132965035457186;0;0.321193308778199;0.0480390005888292;0.00855630320704831;0;0.0599736540049004;0.0903169374944908;0
"PIR";0.00453850925169844;0;0.00249331454317638;0;0.000254999099127883;0.00327294019188696;0.00138657354211626;0.00495213984015573;0.00643973716254567;0.00181705328653588;0;0;0;0.00216485086869705;0.00482433289591954;0.00180353005079719;0;0.00484950354583414
"HEYL";0;0;0;0;0;0;0;0;0;0;0;0.0179246918387129;0;0;0;0;0;0
"TCF4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
