;BasalSquamous;Luminal;LuminalInfiltrated;LuminalPapillary;Neuronal
TRIP13;0.381679389312977;0.0227272727272727;0.027027027027027;0.0597014925373134;0.444444444444444
BCOR;0.106870229007634;0;0;0.0223880597014925;0.444444444444444
CSDC2;0.625954198473282;0.545454545454545;0.351351351351351;0.0149253731343284;0.444444444444444
ZBTB34;0.137404580152672;0.272727272727273;0.540540540540541;0;0.444444444444444
MLLT6;0.0916030534351145;0.113636363636364;0.418918918918919;0;0.444444444444444
GLI4;0.221374045801527;0.204545454545455;0.162162162162162;0;0.444444444444444
ZNF283;0;0.590909090909091;0;0;0.444444444444444
NPM1;0;0.477272727272727;0;0;0.444444444444444
RERE;0;0;0;0;0.444444444444444
NCOA3;0.419847328244275;0;0;0;0.444444444444444
TRIM25;0.625954198473282;0;0;0;0.444444444444444
TCEAL1;0;0.5;0.540540540540541;0.723880597014925;0.388888888888889
SOX7;0;0.613636363636364;0.716216216216216;0.67910447761194;0.388888888888889
TRPS1;0.511450381679389;0.568181818181818;0.364864864864865;0.671641791044776;0.388888888888889
PRRX1;0.572519083969466;0.386363636363636;0.202702702702703;0.664179104477612;0.388888888888889
ZNF19;0;0;0.27027027027027;0.626865671641791;0.388888888888889
SREBF1;0.526717557251908;0.113636363636364;0.22972972972973;0.597014925373134;0.388888888888889
HMGA1;0.519083969465649;0.386363636363636;0.405405405405405;0.574626865671642;0.388888888888889
ZNF134;0.206106870229008;0.522727272727273;0.540540540540541;0.567164179104478;0.388888888888889
ZNF75A;0.618320610687023;0.613636363636364;0.540540540540541;0.552238805970149;0.388888888888889
TLE6;0;0.272727272727273;0.513513513513513;0.522388059701492;0.388888888888889
HOXB7;0.244274809160305;0.409090909090909;0.418918918918919;0.5;0.388888888888889
HES2;0.603053435114504;0.795454545454545;0.824324324324324;0.485074626865672;0.388888888888889
NR4A1;0.541984732824427;0.409090909090909;0.283783783783784;0.432835820895522;0.388888888888889
ZNF559;0;0.0909090909090909;0.513513513513513;0.41044776119403;0.388888888888889
ATF3;0.297709923664122;0.318181818181818;0.27027027027027;0.395522388059701;0.388888888888889
ANKS1A;0.641221374045801;0.590909090909091;0.391891891891892;0.373134328358209;0.388888888888889
MEF2C;0.0381679389312977;0.159090909090909;0.175675675675676;0.373134328358209;0.388888888888889
TFDP1;0.114503816793893;0;0.256756756756757;0.343283582089552;0.388888888888889
STAT2;0.0763358778625954;0.454545454545455;0.216216216216216;0.313432835820896;0.388888888888889
STAT1;0.282442748091603;0.181818181818182;0.5;0.283582089552239;0.388888888888889
IRF4;0.122137404580153;0.113636363636364;0.135135135135135;0.238805970149254;0.388888888888889
JMY;0.083969465648855;0;0.22972972972973;0.216417910447761;0.388888888888889
HCLS1;0.564885496183206;0.613636363636364;0.351351351351351;0.208955223880597;0.388888888888889
ERG;0.534351145038168;0.113636363636364;0.297297297297297;0.201492537313433;0.388888888888889
NR5A2;0.526717557251908;0.522727272727273;0.391891891891892;0.156716417910448;0.388888888888889
TRIM21;0.312977099236641;0.431818181818182;0.0675675675675676;0.141791044776119;0.388888888888889
HOXB9;0.152671755725191;0;0;0.126865671641791;0.388888888888889
OVOL1;0;0;0;0.0746268656716418;0.388888888888889
NFIL3;0.702290076335878;0.159090909090909;0;0.0522388059701493;0.388888888888889
