gene ; activator ; inhibitor
ELTD1 ; HIC1 TAL1 SOX17 NR5A2 HEYL NOTCH4 BCL6B HEY2 MEF2C KLF2 ERG TCF21 FOXF1 EBF1 NR4A3 LDB2 FHL5 LZTS1 TCF4 ZNF366 EBF3 ZNF423 ; TFAP4
MCOLN2 ; SLA2 TBX21 RUNX3 STAT4 EOMES CIITA SP140 TFEC IRF4 ; 
SYDE2 ; ZNF91 ; 
CYR61 ; EGR3 ; 
CLCA2 ; HES2 ; 
GBP1 ; TRIM21 PML SP110 ETV7 SLA2 IRF1 TBX21 STAT1 TRIM22 CIITA SP140 ; 
GBP4 ; PML ETV7 SLA2 IRF1 TBX21 RUNX3 STAT1 TRIM22 CIITA STAT2 SP140 ; 
GBP5 ; PML SP110 SLA2 IRF1 TBX21 GFI1 RUNX3 STAT4 STAT1 TRIM22 CIITA SP140 TFEC ; 
LRRC8B ;  ; PTRF
CDC7 ; ZNF367 SUV39H2 DEK HMGB2 WDHD1 MCM2 KNTC1 DNMT1 WHSC1 ; 
TGFBR3 ; MYOCD ; 
KIAA1107 ; ZNF514 ZNF292 ZNF518A BAZ2B ZNF443 ZKSCAN1 ZNF136 ; 
FNBP1L ; ZNF217 SS18L1 ZNF587 ZNF518A ZNF443 ; 
GCLM ;  ; ZNF444
SLC44A3 ; NR2F6 PCBD1 ; 
PTBP2 ; SALL2 ZNF333 ; 
DPYD ; HIF1A STAT1 IFI16 TRIM22 ; 
LPPR4 ; EBF1 ; 
SLC35A3 ; ZDHHC21 ; 
SASS6 ; BRCA1 E2F8 TTF2 WHSC1 BRCA2 ; 
VCAM1 ; SPI1 IRF8 TFEC FLI1 CREBL2 IRF4 MEF2C HCLS1 KLF2 AFF3 EBF1 NR4A3 LDB2 ; 
S1PR1 ; HIC1 TAL1 SOX8 SOX17 NR5A2 IRF8 KLF9 NOTCH4 FLI1 BCL6B MEF2C MEOX2 KLF2 MEOX1 ERG NR2F1 TCF21 FOXF1 AFF3 EBF1 NR4A3 LDB2 ZBTB16 FHL5 LZTS1 SOX5 TCF4 ZNF366 EBF3 ; 
COL11A1 ; AEBP1 PRRX1 ; 
GPSM2 ; WDHD1 TFDP1 ; 
CELSR2 ; TFAP2A SOX15 HES2 ; 
PSRC1 ; PTTG1 HMGB2 RUVBL1 MCM2 WHSC1 ; 
SYPL2 ; BCL6B KLF2 FOXF1 TSHZ3 EBF1 LDB2 TBX5 MYOCD EBF3 ; 
CYB561D1 ; JRK ; 
GSTM5 ; CSDC2 NFATC4 KLF2 PRDM6 TCF21 FOXF1 LDB2 TBX5 PEG3 LMO3 HAND2 NR3C2 ZNF423 TBX2 ; 
CSF1 ; MNDA PML RUNX3 STAT4 SPI1 TFEC FLI1 ; 
KCNA3 ; ZBTB32 EOMES POU2AF1 POU2F2 SP140 IRF8 TFEC FLI1 IRF4 ; 
CD53 ; MNDA LYL1 SLA2 TBX21 SNAI3 RUNX3 STAT4 SPI1 EOMES POU2F2 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
C1orf162 ; MNDA LYL1 STAT5A SLA2 TBX21 STAT4 VENTX SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
ADORA3 ; MNDA SPI1 TFEC ; 
SLC16A1 ;  ; TBX3
LRIG2 ; GTF2A1 ADNP NCOA2 REST ZNF641 ; 
MAGI3 ; RREB1 REST APC ; 
PTPN22 ; MNDA SLA2 IRF1 ZBTB32 TBX21 GFI1 RUNX3 STAT4 STAT1 SPI1 EOMES TRIM22 CIITA SP140 IRF8 TFEC IRF4 ; 
DCLRE1B ; DEK WDHD1 MCM2 MCM4 DNMT1 E2F7 WHSC1 ; 
OLFML3 ; AEBP1 HIC1 TWIST2 TGFB1I1 PRRX2 NFATC4 MITF KLF2 PRDM6 PRRX1 TCF21 EBF1 LDB2 GLI2 ZFPM2 TBX5 NAP1L3 ; 
DENND2C ; MTF1 RREB1 ; 
CASQ2 ; CSDC2 PRDM6 TBX4 LMO3 HAND2 MYOCD ; 
CD2 ; MNDA SLA2 IRF1 ZBTB32 TBX21 GFI1 RUNX3 STAT4 STAT1 FOXP3 SPI1 EOMES CIITA SP140 IRF8 TFEC IRF4 ; 
PTGFRN ; HES2 ; 
CD101 ; SLA2 RUNX3 STAT1 ; 
TRIM45 ; ZNF77 ZNF443 ; 
MAN1A2 ; ATF2 GTF2A1 NCOA2 REST ZNF641 MKL2 APC ; 
FAM46C ; XBP1 POU2AF1 IRF4 ; 
WDR3 ; GTF3C4 POLR1B ; 
FAM72B ; ESPL1 ; 
FAM72D ; ESPL1 ; 
FCGR1A ; MNDA SLA2 TBX21 VENTX SPI1 CIITA IRF8 TFEC ; 
FCGR1B ; MNDA NR1H3 SLA2 VENTX SPI1 CIITA IRF8 TFEC ; 
FCGR1C ; MNDA SLA2 TBX21 VENTX SPI1 CIITA IRF8 TFEC ; 
GJA5 ; BCL6B ; 
ITGA10 ; SOX17 MEF2C EBF1 LDB2 FHL5 EBF3 ; 
LIX1L ; BIN1 MEF2C ZFPM2 PRDM8 ANKRD53 ZDHHC15 ; 
NBPF10 ; NOTCH2 RREB1 MEF2A REST ZNF641 ASH1L ; 
NBPF9 ; POLR1A ZNF623 CLOCK GTF2A1 REST ZNF641 APC ; 
PLEKHO1 ; LYL1 VENTX SPI1 MEF2C ; 
ANP32E ; HMGB2 ; 
C1orf54 ; LYL1 NR1H3 VENTX SPI1 IRF8 TFEC FLI1 BCL6B MEF2C KLF2 EBF1 NR4A3 ; 
CTSS ; MNDA SLA2 IRF1 SPI1 TRIM22 CIITA SP140 IRF8 TFEC IRF4 ; 
CTSK ; AEBP1 HIC1 MEIS3 ZNF469 CREB3L1 PRRX2 ETV1 PRRX1 ZFPM2 ; 
ANXA9 ; TOB1 ; 
