gene ; activator ; inhibitor
SGIP1 ; TGFB1I1 ZNF469 GLIS1 HEYL PTRF TWIST2 EBF1 GLI2 ETV1 HIC1 MSC FOXF1 AEBP1 PRRX2 LZTS1 TCF4 ZFPM2 HAND2 GLIS2 TSHZ3 CSDC2 PRRX1 TWIST1 ; 
TCTEX1D1 ; SNAI1 HIC1 MSC AEBP1 ZFPM2 TSHZ3 CSDC2 PRRX1 TWIST1 ; 
DIRAS3 ; CSDC2 PRRX1 APBB1 TWIST1 TRPS1 ; 
DEPDC1 ; RAD51 MYBL2 PTTG1 E2F1 TRIP13 MCM2 FOXM1 ESPL1 MCM5 HMGB2 CHAF1A ZNF367 BRCA1 EZH2 SUV39H2 MCM6 KNTC1 TIMELESS DNMT1 BRCA2 WDHD1 BRIP1 MCM4 WHSC1 ; 
PTGER3 ; PTRF HIC1 MEOX2 AEBP1 ZFPM2 CSDC2 PRRX1 TWIST1 ; 
NEGR1 ; ZNF469 GLIS1 PTRF TWIST2 EBF1 GLI2 MYOCD HIC1 MSC GATA6 MEOX2 FOXF1 AEBP1 TCF4 ZFPM2 NAP1L3 HAND2 GLIS2 TSHZ3 RUNX1T1 CSDC2 PRRX1 TWIST1 ; 
ST6GALNAC3 ; HEYL TAL1 FHL5 EBF1 LDB2 BCL6B CREB5 AFF3 KLF2 MEF2C ZBTB16 EBF3 GATA6 FLI1 KLF9 TCF4 ERG NOTCH4 TRPS1 ; 
ST6GALNAC5 ; PTRF HIC1 MSC AEBP1 PRRX2 ZFPM2 HAND2 GLIS2 TSHZ3 CSDC2 PRRX1 TWIST1 ; 
FAM73A ; GTF2H3 REST SHPRH AFF4 NCOA2 CLOCK ATF2 GTF2A1 ASH1L ; 
NEXN ; TGFB1I1 ZNF469 GLIS1 PTRF TWIST2 EBF1 CREB3L1 GLI2 ETV1 KLF2 VENTX MYOCD HIC1 MKX MSC GATA6 GLI1 MEOX2 KLF9 FOXF1 AEBP1 PRRX2 ZFPM2 NAP1L3 HAND2 GLIS2 TSHZ3 MITF RUNX1T1 CSDC2 PRRX1 TWIST1 ; 
DNAJB4 ; ELK3 ; 
PTGFR ; GLI2 MYOCD HIC1 MKX MSC GLI1 MEOX2 FOXF1 AEBP1 ZFPM2 HAND2 RUNX1T1 CSDC2 PRRX1 TWIST1 ; 
IFI44L ; IRF9 STAT1 SP110 SP100 ZNFX1 TRIM22 ; 
IFI44 ; IRF9 SP110 TRIM22 ; 
ELTD1 ; SNAI1 SOX17 NR5A2 HEYL TAL1 FHL5 PTRF EBF1 LDB2 BCL6B KLF2 MEF2C HIC1 NR4A3 TCF21 EBF3 MSC FLI1 KLF9 FOXF1 LZTS1 TCF4 ERG NOTCH4 PRRX1 TWIST1 ; 
MCOLN2 ; TBX21 RUNX3 EOMES ; 
