gene ; activator ; inhibitor
NRAS ; ARNTL2 DEK ELK3 EIF2AK2 BACH1 DNMT1 ; AES
CASQ2 ; HAND2 CSDC2 ; 
CD2 ; TBX21 SP140 SP110 VENTX IRF1 IRF8 GFI1 EOMES SLA2 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 ; 
PTGFRN ; SOX7 HES2 ; 
CD101 ; SPI1 STAT4 RUNX3 FOXP3 ; 
TRIM45 ; ZFP62 ZNF253 SS18L1 ZNF84 ZNF443 ; 
MAN1A2 ; REST NCOA2 ETV3 GTF2A1 APC ASH1L ; 
WDR3 ; POLR1B GTF2H3 ; 
ANKRD35 ; PIAS3 ; 
FAM72B ; FOXM1 ESPL1 HMGB2 EZH2 ; 
FAM72D ; ESPL1 ; 
FCGR1A ; TBX21 VENTX IRF1 IRF8 SLA2 BIN1 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 PRRX1 EGR2 MAFB FOXP3 ; ZNF443
FCGR1B ; TBX21 VENTX IRF1 IRF8 SLA2 SPI1 ZNF469 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 PRRX1 FOXP3 ; ZNF443
FCGR1C ; TBX21 VENTX IRF1 IRF8 SLA2 SPI1 ZNF469 AEBP1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 PRRX1 FOXP3 ; ZNF443
FMO5 ;  ; ENO1
GJA5 ; MSC AEBP1 LDB2 PRRX1 CSDC2 ; 
LIX1L ; PTRF HIC1 FLI1 BIN1 KLF9 SPI1 RUNX3 TFEC MNDA PRRX1 TRPS1 ; 
NBPF10 ; NOTCH2 NR2C2 CLOCK NCOA2 ETV3 ZNF641 GTF2A1 APC ASH1L ; 
NBPF14 ; NOTCH2 ; 
NBPF9 ; CLOCK ZNF641 APC ; 
PLEKHO1 ; LYL1 BIN1 SPI1 AEBP1 PRRX1 ; 
C1orf54 ; LYL1 PTRF MSC IRF8 KLF2 FLI1 SPI1 MEF2C AEBP1 TFEC MNDA ; 
RPRD2 ; ADNP BAZ2B PHF8 TAF1 MKL2 BRWD1 ETV3 ARID1A ZKSCAN1 ASH1L ; 
ECM1 ; PTRF TEAD4 TWIST2 GLIS1 ZNF469 AEBP1 PRRX1 TWIST1 ; 
ADAMTSL4 ; PTRF ; 
MCL1 ; STAT1 ; 
CTSS ; IRF1 CIITA MNDA STAT1 TRIM22 ; 
CTSK ; MSC HIC1 TWIST2 ZNF469 AEBP1 ZFPM2 PRRX1 TWIST1 CSDC2 ; 
SCNM1 ;  ; MKL2
TNFAIP8L2 ; LYL1 PTRF TBX21 POU2F2 MSC VENTX IRF1 IRF8 SLA2 FLI1 BIN1 SPI1 AEBP1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 PRRX1 MAFB FOXP3 ; ZNF443
ZNF687 ; ASH1L ; 
POGZ ; ZNF266 ZNF160 BTAF1 ZNF23 MDM4 ZNF14 ZNF292 ZNF10 ZNF225 BRWD1 SS18L1 ZNF611 ZNF248 ZNF566 ZNF224 ZKSCAN1 ZNF84 ZNF518A ZNF441 ZNF33A ZNF443 ; 
CGN ; SOX13 MSX2 ZFP62 ZNF440 ZNF33A ZNF443 ; 
TUFT1 ; ZNF440 ; 
S100A10 ; PTRF TEAD4 SOX7 ; ZNF708 ZNF124 KLF15 ZNF253 ZNF627 ZNF273 ZNF443
S100A8 ; HES2 ; 
S100A9 ; BARX2 HES2 ; 
S100A2 ; HES2 ; 
S100A14 ; BARX2 HES2 ; 
NPR1 ; BCL6B MEF2C LDB2 SOX17 LZTS1 ; 
ATP8B2 ; GLI2 ZNF469 TSHZ3 ZFPM2 NFATC1 PRRX1 TCF4 EGR2 BACH2 TWIST1 NAP1L3 TRPS1 ; 
SHE ; HEYL MEOX1 EBF1 FLI1 TAL1 FHL5 BCL6B MEF2C LDB2 AFF3 SOX17 ERG EBF3 CREB5 ; 
KCNN3 ; MNDA IRF4 FOXP3 ; 
CKS1B ; RAD51 MYBL2 PTTG1 TRIP13 FOXM1 HMGB2 ; 
DPM3 ; SCAND1 ; ASCC3 GTF2A1
KRTCAP2 ; TAF10 ZNF688 ; GTF2H3 CLOCK GTF2A1
HCN3 ; ZFP62 ZNF84 ZNF443 ; 
SYT11 ; PTRF IRF8 FLI1 MEF2C AEBP1 RUNX3 MNDA TSHZ3 CREB5 PRRX1 TCF4 EGR2 TWIST1 CSDC2 ; 
KIAA0907 ; IKBKB ZNF195 BTAF1 ZNF514 MDM4 ZNF302 ZNF141 ZNF169 ZNF10 ZNF248 ZNF224 ZNF84 ZNF518A ZNF441 ZNF33A ; 
