gene ; activator ; inhibitor
CYR61 ; HIC1 NR4A3 PTRF EGR1 TGFB1I1 MSC TWIST1 AEBP1 EGR3 EGR2 TWIST2 PRRX1 HAND2 CSDC2 ; 
CLCA2 ; HES2 ; 
PKN2 ; ZNF292 REL EP300 ARID1A ARID4A MKL2 ETV3 ASH1L ; 
GBP1 ; NMI PML SP110 IRF1 SLA2 MNDA SP140 CIITA TBX21 TRIM22 STAT1 TFEC FOXP3 ; 
GBP4 ; IRF1 CIITA TBX21 TRIM22 STAT1 FOXP3 ; 
GBP5 ; PML SP110 IRF1 GFI1 SPI1 SLA2 MNDA SP140 EOMES CIITA IRF8 STAT4 TBX21 TRIM22 STAT1 RUNX3 TFEC FOXP3 IRF4 ; 
CDC7 ; HMGB2 ZNF367 EZH2 KNTC1 TIMELESS WHSC1 WDHD1 DNMT1 BRIP1 ; 
TGFBR3 ; BTG2 KLF15 ; 
KIAA1107 ; ZFP62 BAZ2B ZNF292 ZNF223 ZNF507 ZNF587 ZNF253 ZNF440 ZNF627 ZKSCAN1 ZNF33A ZNF518A ZNF136 ZNF441 ZNF443 ; TEAD4 PTRF
FNBP1L ; ZNF195 ZFP62 ZNF397 ZNF91 ZNF436 ZNF587 ZNF253 AFF1 ZNF627 ZNF443 ; PDLIM4
F3 ; TEAD4 ; 
SLC44A3 ; PPARG GATA3 PCBD1 ZNF440 RERE ZNF443 ; TEAD4 CREB5
PTBP2 ; ZNF333 ; 
DPYD ; NR3C1 STAT4 TBX21 STAT1 TRPS1 ; ZNF443
LPPR4 ; LEF1 ; 
AGL ; MKL2 ; 
SLC35A3 ; CLOCK GTF2A1 ; 
SASS6 ; TTF2 ANKRD32 BRCA2 BRIP1 ; 
VCAM1 ; HIC1 VENTX PTRF MSC IRF8 FLI1 TCF4 ZNF469 TSHZ3 KLF2 MEF2C TWIST1 AEBP1 LEF1 ZFPM2 EGR2 GLIS2 DAB2 IRF4 TWIST2 PRRX1 CSDC2 ; 
S1PR1 ; EBF1 HEYL TAL1 NR5A2 NR4A3 SOX17 NOTCH4 KLF9 FLI1 MEOX1 TCF4 BCL6B FOXF1 LDB2 FHL5 KLF2 MEF2C ERG LZTS1 EBF3 HAND2 ; 
COL11A1 ; ZNF469 ETV1 AEBP1 PRRX1 ; 
SLC25A24 ; ASCC3 CLOCK GTF2A1 ; 
GPSM2 ; MCM4 WHSC1 WDHD1 DNMT1 BRIP1 RBL1 ; 
CELSR2 ; BARX2 HES2 ; 
PSRC1 ; PTTG1 DNMT1 ; 
SYPL2 ; FOXF1 LZTS1 ZFPM2 NAP1L3 HAND2 CSDC2 ; 
CYB561D1 ; TRIM25 JRK CRAMP1L ; 
GSTM5 ; GLI2 FOXF1 PRDM6 AEBP1 TCF21 NAP1L3 TBX5 TWIST2 HAND2 CSDC2 ; 
CSF1 ; SPI1 HIVEP3 MNDA VENTX IRF8 FLI1 STAT4 STAT1 RUNX3 TFEC CREB5 FOXP3 PRRX1 ; 
KCNA3 ; SLA2 MNDA EOMES IRF8 FLI1 RUNX3 FOXP3 IRF4 ; 
CD53 ; ZBTB32 LYL1 IRF1 GFI1 SPI1 SLA2 MNDA SP140 VENTX BIN1 EOMES CIITA MSC IRF8 FLI1 STAT4 TBX21 TOX STAT1 RUNX3 TFEC EGR2 CREB5 FOXP3 IRF4 TWIST2 PRRX1 TRPS1 ; 
OVGP1 ; KLF15 RERE ; 
C1orf162 ; LYL1 SPI1 SLA2 MNDA SP140 VENTX BIN1 PTRF CIITA MSC IRF8 FLI1 STAT4 TBX21 RUNX3 TFEC AEBP1 CREB5 FOXP3 IRF4 TWIST2 PRRX1 ; ZNF443
ADORA3 ; SPI1 MNDA VENTX PTRF MSC IRF8 STAT4 TBX21 ZNF469 RUNX3 TFEC AEBP1 PRRX1 ; 
CTTNBP2NL ; ETV3 ; 
SLC16A1 ;  ; RERE
LRIG2 ; BTAF1 ZNF623 ADNP ZNF81 REST ARID4A GTF2A1 ZKSCAN1 ASH1L ; 
MAGI3 ; RREB1 REST APC ASH1L ; 
PTPN22 ; ZBTB32 IRF1 GFI1 SPI1 SLA2 MNDA SP140 VENTX EOMES CIITA IRF8 FLI1 STAT4 TBX21 TRIM22 TOX STAT1 RUNX3 TFEC TNFAIP3 FOXP3 IRF4 PRRX1 ; 
OLFML3 ; GLIS1 SPI1 HIC1 VENTX MEIS3 PTRF TGFB1I1 GLI2 MSC IRF8 TCF4 ZNF469 TSHZ3 ETV1 PRRX2 KLF2 TWIST1 AEBP1 LEF1 ZFPM2 EGR2 NAP1L3 GLIS2 DAB2 TWIST2 PRRX1 HAND2 TRPS1 CSDC2 ; 
DENND2C ; HES2 ; 
CASQ2 ; MYOCD HAND2 CSDC2 ; 
CD2 ; ZBTB32 IRF1 GFI1 SPI1 SLA2 MNDA SP140 VENTX EOMES CIITA IRF8 STAT4 TBX21 TRIM22 TOX STAT1 RUNX3 TFEC FOXP3 IRF4 ; 
PTGFRN ; SOX7 HES2 ; 
CD101 ; STAT4 TBX21 ; 
TRIM45 ; ZFP62 ZNF554 SS18L1 ZNF84 ZNF333 ZNF443 ; 
MAN1A2 ; REST ZNF641 GTF2A1 MKL2 APC ASH1L ; 
FAM46C ; IRF4 ; 
WDR3 ; GTF3C4 POLR1B GTF2H3 ; 
HMGCS2 ; PCBD1 ; 
ACP6 ; PCBD1 ; 
ANKRD35 ; PIAS3 ; 
FAM72B ; TRIP13 ESPL1 PTTG1 HMGB2 MCM2 BRCA1 EZH2 BRIP1 ; 
FAM72D ; ESPL1 BRCA1 BRIP1 ; 
FCGR1A ; IRF1 SPI1 SLA2 MNDA SP140 VENTX CIITA IRF8 STAT4 TBX21 STAT1 RUNX3 TFEC FOXP3 IRF4 PRRX1 ; 
FCGR1B ; IRF1 SPI1 SLA2 MNDA VENTX CIITA IRF8 STAT4 TBX21 STAT1 RUNX3 TFEC FOXP3 IRF4 PRRX1 ; 
FCGR1C ; SPI1 SLA2 MNDA VENTX IRF8 STAT4 TBX21 STAT1 RUNX3 TFEC FOXP3 IRF4 PRRX1 ; ZNF443
GJA5 ; HEYL AEBP1 TWIST2 PRRX1 HAND2 CSDC2 ; 
LIX1L ; HIC1 BIN1 PTRF TGFB1I1 MSC KLF9 FLI1 MEF2C TWIST1 AEBP1 TWIST2 PRRX1 CSDC2 ; 
NBPF10 ; NOTCH2 RBL1 NR2C2 ATF2 NCOA2 ZNF623 CLOCK REST ZNF641 GTF2A1 ETV3 APC ASH1L ; 
NBPF9 ; ZNF623 CLOCK ZNF641 APC ; 
PLEKHO1 ; LYL1 SPI1 HIC1 VENTX BIN1 TGFB1I1 MSC MEF2C TWIST1 AEBP1 TWIST2 PRRX1 ; 
C1orf54 ; LYL1 SPI1 HIC1 VENTX PTRF TGFB1I1 SOX17 MSC IRF8 FLI1 BCL6B KLF2 MEF2C AEBP1 TWIST2 PRRX1 ; 
RPRD2 ; ELF1 EPC1 ADNP REST ARID4A ZKSCAN1 MKL2 ETV3 ASH1L ; 
ECM1 ; TEAD4 SNAI1 PTRF ZNF469 TWIST1 AEBP1 TWIST2 PRRX1 ; 
MCL1 ; STAT4 TNFAIP3 STAT3 ; 
CTSS ; IRF1 ; 
CTSK ; GLIS1 HIC1 MEIS3 PTRF TGFB1I1 GLI2 MSC ZNF469 TSHZ3 ETV1 PRRX2 TWIST1 AEBP1 ZFPM2 NAP1L3 GLIS2 TWIST2 PRRX1 HAND2 CSDC2 ; 
SCNM1 ;  ; MKL2
TNFAIP8L2 ; LYL1 IRF1 SPI1 SLA2 MNDA SP140 VENTX BIN1 POU2F2 EOMES CIITA MSC IRF8 FLI1 STAT4 TBX21 RUNX3 TFEC FOXP3 IRF4 PRRX1 ; 
POGZ ; BTAF1 DMTF1 ZNF141 MDM4 ZNF493 ZNF14 ZNF10 ZNF224 SS18L1 ZNF225 ZNF33A ZNF84 ZNF518A ZNF211 ZNF566 ZNF333 ZNF441 ZNF443 ; 
SELENBP1 ; RORC ; 
CGN ; ELF3 ELF5 GATA3 SOX13 TLE2 MSX2 TOB1 HOXA13 TBX3 ZNF253 ZNF440 ZNF33A RERE ZNF443 ; PTTG1 ENO1 SNAI2 TEAD4
S100A10 ; TEAD4 PTRF SOX7 ; KLF15 ZNF253 ZNF627 ZNF92 RERE ZNF443
SPRR1B ; HES2 ; 
S100A8 ; HES2 ; 
S100A9 ; HES2 ; 
S100A16 ; HES2 ; EMX2
S100A14 ; BARX2 HES2 ; 
S100A13 ;  ; ZBTB39 ZNF551 REST
NPR1 ; EBF1 HEYL SOX17 BCL6B LDB2 KLF2 MEF2C ERG LZTS1 EBF3 ; 
ATP8B2 ; HIC1 VENTX TGFB1I1 GLI2 MSC IRF8 TCF4 ZNF469 TSHZ3 RUNX1T1 KLF2 TWIST1 AEBP1 BACH2 ZFPM2 EGR2 NAP1L3 DAB2 TWIST2 PRRX1 HAND2 CSDC2 ; 
SHE ; EBF1 HEYL TAL1 SOX17 NOTCH4 KLF9 FLI1 MEOX1 TCF4 BCL6B FOXF1 LDB2 FHL5 AFF3 KLF2 MEF2C ERG LZTS1 TCF21 EBF3 HAND2 ZNF366 CSDC2 ; 
