gene ; activator ; inhibitor
BEND5 ; SUFU ZSCAN16 TBX3 KLF15 ZNF253 ; 
ZCCHC11 ; BDP1 ATF2 REST NR2C2 BTAF1 ZNF236 ZBTB39 EPC1 SHPRH RBBP4 ADNP ZNF623 NCOA2 ZNF81 GTF2A1 ETV3 MKL2 ZNF641 ZKSCAN1 ; 
ECHDC2 ; PCBD1 ; 
PODN ; GLI2 MSC FOXF1 HIC1 MEIS3 TGFB1I1 CREB3L1 KLF2 LDB2 TWIST1 PRDM6 ETV1 ZFPM2 TSHZ3 HAND2 TWIST2 AEBP1 TCF21 TBX5 CSDC2 PRRX1 NAP1L3 ; 
TACSTD2 ; GRHL1 ELF3 GRHL3 TOB1 ZNF440 ; 
MYSM1 ; BDP1 REST NR2C2 BTAF1 ZBTB39 ELK4 SHPRH RBL2 ADNP ZNF121 NCOA2 ZNF81 GTF2A1 REL ETV3 ZNF397 ZNF641 ZNF518A ZKSCAN1 ; 
HOOK1 ; GRHL3 POGK ZNF675 NFXL1 ZBTB6 ZNF567 WHSC1L1 ZDHHC21 ZSCAN16 BRPF3 NR1D2 ZFP62 BAZ2B RBBP4 ADNP ZNF507 ZNF440 MKL2 ZNF627 ZNF92 ZNF518A ZKSCAN1 ZNF443 ; LYL1 BIN1 SPI1 TGFB1I1 FLI1 PTRF
KANK4 ; AEBP1 PRRX1 ; 
LEPROT ; TAF13 ATF6 ZNF281 CTNNB1 GTF2H3 ASCC3 ELK3 GTF3C4 BBX JMJD1C BACH1 ATF7IP EYA3 HIVEP1 ATF2 ZNF689 REST CLOCK NCOA2 GTF2A1 ETV3 ZNF641 ; TCEB2 SCAND1 PPAN POLR2I MXD3 ANKS3
PDE4B ; SLA2 NR4A3 MSC MNDA SPI1 STAT4 MEF2C HIC1 FLI1 PTRF IRF8 TFEC RUNX3 TNFAIP3 AEBP1 IRF4 EGR2 PRRX1 ; 
SGIP1 ; ZNF469 GLIS1 GLI2 MSC TWIST1 ETV1 ZFPM2 TSHZ3 TWIST2 AEBP1 CSDC2 PRRX1 ; 
TCTEX1D1 ; SNAI1 MSC HIC1 PTRF AEBP1 PRRX1 ; 
GNG12 ; NFKB1 ; 
DEPDC1 ; TRIP13 FOXM1 PTTG1 ESPL1 BRCA1 MCM7 SUV39H2 HMGB2 CHAF1A MCM2 TIMELESS MCM4 DEK EZH2 WDHD1 ANKRD32 WHSC1 BRIP1 BRCA2 DNMT1 ; 
PTGER3 ; ZFPM2 TWIST2 AEBP1 CSDC2 PRRX1 NAP1L3 ; 
NEGR1 ; EBF1 GLI2 MSC HIC1 MYOCD TWIST1 ZFPM2 TSHZ3 HAND2 TWIST2 AEBP1 TCF21 CSDC2 PRRX1 NAP1L3 ; 
ST6GALNAC3 ; BCL6B EBF1 HEYL NOTCH4 SOX17 MEF2C FHL5 KLF2 LDB2 ERG TCF21 EBF3 ; 
ST6GALNAC5 ; ZNF469 MSC MEIS3 TGFB1I1 ETV1 GLIS2 ZFPM2 HAND2 AEBP1 CSDC2 PRRX1 NAP1L3 ; 
FAM73A ; REST SHPRH NCOA2 GTF2A1 ETV3 MKL2 ; 
NEXN ; GATA6 ZNF469 VENTX KLF9 GLI2 MSC SPI1 HIC1 TGFB1I1 FLI1 PTRF TFEC MITF GLIS2 ZFPM2 TSHZ3 HAND2 AEBP1 CSDC2 PRRX1 ; 
PTGFR ; EBF1 MSC HIC1 MKX ZFPM2 HAND2 AEBP1 CSDC2 PRRX1 NAP1L3 ; 
IFI44L ; IRF9 IRF1 SP110 STAT2 ZNFX1 TRIM22 STAT1 ; 
IFI44 ; IRF9 SP110 STAT2 ZNFX1 TRIM22 STAT1 ; 
